,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,221.0,152.0,113.0,112.0,129.0,147.0,132.0,150.0,179.0,147.0
Expenses,215.0,146.0,109.0,108.0,123.0,140.0,128.0,147.0,177.0,147.0
Operating Profit,7.0,6.0,4.0,5.0,6.0,7.0,4.0,3.0,2.0,0.0
OPM %,3.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,0.0
Other Income,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
Interest,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Profit before tax,3.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,4.0,-0.0
Tax %,32.0,31.0,27.0,30.0,32.0,20.0,24.0,24.0,22.0,-357.0
Net Profit,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,-0.0
EPS in Rs,1.89,1.52,1.2,1.91,2.23,3.61,1.22,1.33,3.09,-0.01
