,2023-09-01
Depreciation,1.62
EPS in Rs,4.12
Expenses,59.48
Interest,1.78
Net Profit,5.28
OPM %,10.19
Operating Profit,6.75
Other Income,3.51
Profit before tax,6.86
Sales,66.23
Tax %,23.03
