,2023-03-01
Depreciation,0.96
EPS in Rs,2.35
Expenses,39.68
Interest,1.78
Net Profit,3.02
OPM %,13.02
Operating Profit,5.94
Other Income,0.27
Profit before tax,3.47
Sales,45.62
Tax %,12.97
