,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,5,14
Reserves,3,6,12,17,40
Borrowings,9,11,23,29,0
Other Liabilities,9,17,23,19,48
Total Liabilities,22,34,59,71,102
Fixed Assets,4,5,4,19,19
CWIP,0,4,8,0,0
Investments,0,0,0,0,0
Other Assets,18,26,46,52,83
Total Assets,22,34,59,71,102
