,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.78,19.17,14.03,8.89,7.03,5.4,9.16,5.61,3.27,2.61
Expenses,13.35,18.82,13.85,8.93,6.98,5.45,10.02,5.5,3.81,3.22
Operating Profit,0.43,0.35,0.18,-0.04,0.05,-0.05,-0.86,0.11,-0.54,-0.61
OPM %,3.12,1.83,1.28,-0.45,0.71,-0.93,-9.39,1.96,-16.51,-23.37
Other Income,0.04,0.0,0.09,0.08,0.0,0.01,0.35,0.01,0.0,-0.01
Interest,0.47,0.28,0.22,0.01,0.01,0.01,0.0,0.0,0.0,0.00
Depreciation,0.03,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01
Profit before tax,-0.03,0.05,0.04,0.02,0.04,-0.05,-0.52,0.11,-0.55,-0.63
Tax %,-33.33,40.0,50.0,0.0,0.0,-20.0,25.0,36.36,21.82,
Net Profit,-0.05,0.03,0.01,0.03,0.03,-0.06,-0.39,0.07,-0.43,-0.51
EPS in Rs,-0.01,0.01,0.0,0.01,0.01,-0.01,-0.08,0.01,-0.09,-0.10
