,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,0.28,0.31,0.32,0.34,0.37,0.3,-0.09,-0.02,-0.46,-0.58
Borrowings,3.33,4.35,1.91,1.91,1.93,1.69,1.96,1.92,1.89,1.82
Other Liabilities,0.73,0.35,1.76,2.76,1.14,3.29,2.4,0.87,0.08,-0.07
Total Liabilities,9.34,10.01,8.99,10.01,8.44,10.28,9.27,7.77,6.51,6.17
Fixed Assets,0.06,0.05,0.04,0.03,0.03,0.03,0.05,0.04,0.03,0.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.4,1.4,5.34,1.4,1.61,1.4,1.4,1.4,1.4,1.4
Other Assets,7.88,8.56,3.61,8.58,6.8,8.85,7.82,6.33,5.08,4.74
Total Assets,9.34,10.01,8.99,10.01,8.44,10.28,9.27,7.77,6.51,6.17
