,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,542.0,124.0,705.0,166.0,99.0
Expenses,496.0,194.0,672.0,176.0,129.0
Operating Profit,46.0,-71.0,33.0,-10.0,-30.0
OPM %,8.0,-57.0,5.0,-6.0,-31.0
Other Income,17.0,12.0,5.0,13.0,23.0
Interest,21.0,23.0,11.0,6.0,11.0
Depreciation,5.0,6.0,5.0,5.0,5.0
Profit before tax,37.0,-88.0,22.0,-8.0,-24.0
Tax %,11.0,32.0,65.0,15.0,16.0
Net Profit,33.0,-59.0,8.0,-7.0,-20.0
EPS in Rs,2.88,-5.21,0.61,-0.58,-1.42
