,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,242.0,82.0,901.0,1554.0
Expenses,278.0,163.0,986.0,1547.0
Operating Profit,-37.0,-81.0,-84.0,6.0
OPM %,-15.0,-99.0,-9.0,0.0
Other Income,22.0,67.0,38.0,32.0
Interest,55.0,71.0,70.0,73.0
Depreciation,5.0,12.0,21.0,22.0
Profit before tax,-74.0,-97.0,-136.0,-57.0
Tax %,24.0,11.0,15.0,-12.0
Net Profit,-57.0,-86.0,-116.0,-64.0
EPS in Rs,-101.43,-151.23,-10.23,-5.12
