,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,11,12,14
Reserves,-99,-213,-364,35,574
Borrowings,981,1186,1170,1724,1133
Other Liabilities,2043,2784,3632,4250,5272
Total Liabilities,2931,3763,4449,6022,6993
Fixed Assets,69,104,169,136,131
CWIP,2,0,0,0,0
Investments,109,57,5,0,0
Other Assets,2751,3603,4276,5885,6862
Total Assets,2931,3763,4449,6022,6993
