,Mar 2016,Mar 2022,Mar 2023,TTM
Sales,3.86,8.13,25.12,26.55
Expenses,3.74,7.97,23.24,23.36
Operating Profit,0.12,0.16,1.88,3.19
OPM %,3.11,1.97,7.48,12.02
Other Income,0.55,0.63,0.95,0.73
Interest,0.0,0.38,0.34,0.48
Depreciation,0.03,0.23,0.25,0.74
Profit before tax,0.64,0.18,2.24,2.70
Tax %,31.25,33.33,25.0,
Net Profit,0.44,0.0,1.68,2.07
EPS in Rs,0.41,-0.02,1.41,1.73
