,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.66,2.6,5.66,5.72,6.97,6.77,6.9,5.91
Expenses,2.43,2.56,5.12,5.72,6.37,6.03,5.82,5.14
Operating Profit,0.23,0.04,0.54,0.0,0.6,0.74,1.08,0.77
OPM %,8.65,1.54,9.54,0.0,8.61,10.93,15.65,13.03
Other Income,0.09,0.48,0.04,0.65,0.1,0.16,0.22,0.25
Interest,0.07,0.17,0.09,0.1,0.09,0.06,0.16,0.17
Depreciation,0.07,0.1,0.05,0.05,0.06,0.08,0.3,0.3
Profit before tax,0.18,0.25,0.44,0.5,0.55,0.76,0.84,0.55
Tax %,0.0,12.0,34.09,32.0,18.18,22.37,26.19,25.45
Net Profit,0.19,0.22,0.3,0.33,0.46,0.58,0.63,0.4
EPS in Rs,0.13,0.19,0.28,0.3,0.37,0.48,0.54,0.34
