,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.27,20.2,13.99,10.54,1.49,5.7,4.52,19.06,0.52
Expenses,2.61,19.46,13.39,10.61,4.11,10.3,4.45,19.15,1.05
Operating Profit,0.66,0.74,0.6,-0.07,-2.62,-4.6,0.07,-0.09,-0.53
OPM %,20.18,3.66,4.29,-0.66,-175.84,-80.7,1.55,-0.47,-101.92
Other Income,0.05,0.12,0.05,0.21,0.05,0.25,0.5,-0.05,-2.51
Interest,0.04,0.04,0.04,0.06,0.01,0.05,0.02,0.02,0.02
Depreciation,0.21,0.22,0.2,0.2,0.19,0.21,0.16,0.16,0.04
Profit before tax,0.46,0.6,0.41,-0.12,-2.77,-4.61,0.39,-0.32,-3.1
Tax %,28.26,70.0,26.83,0.0,0.0,0.0,23.08,25.0,0.0
Net Profit,0.34,0.18,0.3,-0.12,-2.77,-4.61,0.3,-0.24,-3.1
EPS in Rs,0.14,0.07,0.12,-0.05,-1.11,-1.85,0.12,-0.1,-1.24
