,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,58.0,64.0,70.0,64.0,73.0,57.0,69.0
Expenses,45.0,45.0,52.0,46.0,54.0,44.0,54.0
Operating Profit,13.0,19.0,19.0,18.0,19.0,13.0,14.0
OPM %,22.0,29.0,26.0,28.0,26.0,23.0,21.0
Other Income,5.0,1.0,3.0,1.0,3.0,5.0,5.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,3.0,3.0,3.0,3.0,4.0,4.0,5.0
Profit before tax,15.0,16.0,18.0,16.0,18.0,14.0,14.0
Tax %,23.0,26.0,26.0,26.0,26.0,26.0,26.0
Net Profit,12.0,12.0,13.0,12.0,13.0,10.0,11.0
EPS in Rs,4.22,4.44,4.88,4.38,4.4,3.41,3.51
