,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,159.0,187.0,159.0,187.0,234.0,271.0,263
Expenses,115.0,133.0,122.0,135.0,168.0,196.0,198
Operating Profit,44.0,54.0,37.0,52.0,66.0,75.0,64
OPM %,28.0,29.0,23.0,28.0,28.0,28.0,25
Other Income,5.0,9.0,12.0,8.0,8.0,8.0,14
Interest,6.0,1.0,5.0,0.0,0.0,0.0,0
Depreciation,4.0,6.0,6.0,8.0,11.0,13.0,15
Profit before tax,40.0,56.0,38.0,53.0,62.0,69.0,63
Tax %,36.0,28.0,26.0,28.0,26.0,26.0,
Net Profit,25.0,40.0,28.0,38.0,46.0,51.0,47
EPS in Rs,469.1,747.45,465.55,552.67,16.76,16.73,15.70
