,2023-03-01,2023-06-01,2023-09-01
Promoters,60.49,60.49,60.49
FIIs,1.08,3.09,3.63
DIIs,28.48,26.22,25.47
Public,9.97,10.2,10.41
No. of Shareholders,15077.0,14488.0,16951.0
