,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,75.0,301.0,476.0,467
Expenses,67.0,302.0,464.0,456
Operating Profit,8.0,-1.0,12.0,11
OPM %,10.0,-0.0,2.0,2
Other Income,-3.0,44.0,-28.0,-13
Interest,5.0,2.0,2.0,3
Depreciation,1.0,2.0,3.0,3
Profit before tax,-2.0,39.0,-21.0,-8
Tax %,-133.0,26.0,27.0,
Net Profit,-4.0,29.0,-16.0,-1
EPS in Rs,-0.03,0.26,-0.11,-0.02
