,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31.86,9.43,30.06,24.1,67.49,106.74,102.59,92.2,131.81,133.94,118.1,98.89,116.03
Expenses,30.14,11.94,21.34,23.34,68.29,109.93,100.45,90.9,127.27,129.36,116.8,96.22,113.54
Operating Profit,1.72,-2.51,8.72,0.76,-0.8,-3.19,2.14,1.3,4.54,4.58,1.3,2.67,2.49
OPM %,5.4,-26.62,29.01,3.15,-1.19,-2.99,2.09,1.41,3.44,3.42,1.1,2.7,2.15
Other Income,0.82,3.76,-9.05,1.23,4.28,7.37,30.89,2.15,1.23,0.63,-31.79,11.62,6.71
Interest,1.97,1.01,1.55,1.33,0.12,0.25,0.45,0.29,0.28,0.52,1.21,0.5,0.67
Depreciation,0.15,0.14,0.25,0.21,0.36,0.12,0.82,0.68,0.45,1.22,0.66,0.87,0.72
Profit before tax,0.42,0.1,-2.13,0.45,3.0,3.81,31.76,2.48,5.04,3.47,-32.36,12.92,7.81
Tax %,26.19,40.0,-86.38,24.44,16.67,25.98,26.86,-7.26,51.19,-78.1,17.15,9.44,2.05
Net Profit,0.31,0.07,-3.96,0.33,2.5,2.82,23.23,2.66,2.46,6.19,-26.81,11.7,7.65
EPS in Rs,0.0,0.0,-0.04,0.0,0.02,0.03,0.21,0.02,0.02,0.04,-0.19,0.08,0.05
