,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.79,5.26,6.1,9.78,11.28,5.04,5.49
Expenses,2.17,4.06,4.84,7.54,8.81,4.95,4.88
Operating Profit,0.62,1.2,1.26,2.24,2.47,0.09,0.61
OPM %,22.22,22.81,20.66,22.9,21.9,1.79,11.11
Other Income,0.03,0.01,0.0,0.0,0.0,0.0,0.00
Interest,0.16,0.14,0.18,0.35,0.6,0.99,0.62
Depreciation,0.13,0.35,0.42,0.52,0.59,0.66,0.67
Profit before tax,0.36,0.72,0.66,1.37,1.28,-1.56,-0.68
Tax %,25.0,26.39,28.79,26.28,28.12,0.0,
Net Profit,0.26,0.53,0.47,1.01,0.93,-1.56,-0.68
EPS in Rs,0.89,1.22,1.08,2.33,2.15,-3.6,-1.57
