,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.93,4.33,4.33,4.33,4.33,4.33,4.33
Reserves,0.4,3.73,4.21,5.22,6.15,4.59,4.5
Borrowings,1.88,0.9,1.76,4.04,5.15,6.4,6.29
Other Liabilities,1.0,1.18,1.63,1.61,2.49,2.4,2.03
Total Liabilities,6.21,10.14,11.93,15.2,18.12,17.72,17.15
Fixed Assets,2.06,3.28,3.47,5.24,5.75,5.39,5.06
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Other Assets,3.91,6.62,8.22,9.72,12.13,12.09,11.85
Total Assets,6.21,10.14,11.93,15.2,18.12,17.72,17.15
