,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.64,3.03,3.07,2.71,7.07,8.02,3.26,2.28,2.76,2.73
Expenses,1.95,2.3,2.53,2.14,5.4,6.07,2.81,2.46,2.5,2.38
Operating Profit,0.69,0.73,0.54,0.57,1.67,1.95,0.45,-0.18,0.26,0.35
OPM %,26.14,24.09,17.59,21.03,23.62,24.31,13.8,-7.89,9.42,12.82
Other Income,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Interest,0.05,0.09,0.09,0.05,0.3,0.24,0.33,0.48,0.51,0.11
Depreciation,0.2,0.21,0.22,0.23,0.29,0.28,0.3,0.33,0.34,0.33
Profit before tax,0.45,0.43,0.23,0.29,1.08,1.43,-0.18,-0.98,-0.59,-0.09
Tax %,26.67,0.0,82.61,24.14,27.78,25.17,22.22,0.0,0.0,0.0
Net Profit,0.34,0.43,0.04,0.23,0.79,1.07,-0.13,-0.97,-0.59,-0.09
EPS in Rs,0.78,0.99,0.09,0.53,1.82,2.47,-0.3,-2.24,-1.36,-0.21
