,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.43,36.38,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,36.07,48.03,3.34,1.17,1.30,1.21,1.12,1.34,0.80,0.87,0.00,-0.01,0.0
Operating Profit,0.36,-11.65,-3.3,-1.17,-1.30,-1.21,-1.12,-1.34,-0.80,-0.87,0.00,0.01,0.0
OPM %,0.99,-32.02,-8250.0,,,,,,,,,,
Other Income,0.16,-11.08,-3.4,0.74,0.63,0.00,0.00,0.00,0.00,0.00,-0.87,-1.00,-1.04
Interest,0.26,0.26,3.01,3.03,2.92,2.23,1.92,2.38,2.82,2.62,2.29,2.46,2.68
Depreciation,0.51,0.49,0.22,0.01,0.11,0.06,0.07,0.06,0.05,0.05,0.05,0.00,0.0
Profit before tax,-0.25,-23.48,-9.93,-3.47,-3.70,-3.50,-3.11,-3.78,-3.67,-3.54,-3.21,-3.45,-3.7199999999999998
Tax %,516.0,-3.19,0.0,0.00,0.00,0.00,0.00,0.00,27.79,0.00,0.00,0.00,
Net Profit,1.04,-24.23,-9.92,-3.47,-3.71,-3.50,-3.10,-3.79,-2.65,-3.54,-3.21,-3.46,-3.73
EPS in Rs,0.21,-4.83,-1.98,-0.69,-0.74,-0.70,-0.62,-0.75,-0.53,-0.71,-0.64,-0.69,-0.75
