,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22,22,22,24,31,31,31,34,34,34,34
Reserves,188,217,241,339,861,955,1097,1570,1701,1875,1922
Borrowings,315,366,358,395,114,251,383,399,1069,1455,1552
Other Liabilities,336,401,494,493,721,1133,1388,1582,2107,2876,1124
Total Liabilities,861,1006,1115,1251,1728,2371,2899,3585,4910,6240,4632
Fixed Assets,349,418,500,557,710,809,1106,1144,1505,2222,2317
CWIP,52,52,36,21,30,34,12,43,128,50,27
Investments,0,0,0,0,6,0,0,108,225,193,140
Other Assets,460,536,579,672,983,1528,1781,2289,3051,3775,2147
Total Assets,861,1006,1115,1251,1728,2371,2899,3585,4910,6240,4632
