,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,14,3,7
Cash from Investing Activity,,,0,-2,-4
Cash from Financing Activity,,,-14,0,0
Net Cash Flow,,,0,1,3
