,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,10.52,30.2,40.1,34.65,53.74,53.48,43.61,54.57,45.48,40.24,82.57,85.29
Expenses,10.48,28.89,38.05,31.29,49.86,50.23,43.03,51.88,42.93,37.82,79.81,81.29
Operating Profit,0.04,1.31,2.05,3.36,3.88,3.25,0.58,2.69,2.55,2.42,2.76,4.0
OPM %,0.38,4.34,5.11,9.7,7.22,6.08,1.33,4.93,5.61,6.01,3.34,4.69
Other Income,0.02,0.13,0.23,0.9,0.11,0.1,0.16,0.21,0.26,0.29,5.31,0.34
Interest,0.8,0.88,1.43,2.01,2.79,2.02,2.02,1.63,1.47,1.39,1.14,0.87
Depreciation,0.53,0.54,0.71,0.6,0.71,0.86,0.86,0.88,0.89,0.88,0.91,0.98
Profit before tax,-1.27,0.02,0.14,1.65,0.49,0.47,-2.14,0.39,0.45,0.44,6.02,2.49
Tax %,33.07,-100.0,-35.71,30.91,-6.12,29.79,29.91,28.21,15.56,38.64,14.62,27.31
Net Profit,-0.85,0.04,0.19,1.14,0.53,0.32,-1.5,0.28,0.38,0.28,5.13,1.81
EPS in Rs,-0.65,0.01,0.06,0.09,0.04,0.03,-0.12,0.02,0.03,0.02,0.41,0.13
