,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.86,4.66,4.67,6.32,4.12
Expenses,4.53,3.33,3.44,5.19,3.61
Operating Profit,0.33,1.33,1.23,1.13,0.51
OPM %,6.79,28.54,26.34,17.88,12.38
Other Income,0.0,0.03,0.07,0.17,0.24
Interest,0.01,0.03,0.02,0.03,0.04
Depreciation,0.03,0.06,0.07,0.14,0.16
Profit before tax,0.29,1.27,1.21,1.13,0.55
Tax %,20.69,28.35,9.92,30.09,
Net Profit,0.23,0.92,1.09,0.78,0.26
EPS in Rs,46.0,184.0,7.79,5.57,1.85
