,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.93,1.93,2.74,3.9,2.43,1.69
Expenses,1.65,1.65,1.79,2.83,2.36,1.25
Operating Profit,0.28,0.28,0.95,1.07,0.07,0.44
OPM %,14.51,14.51,34.67,27.44,2.88,26.04
Other Income,0.04,0.04,0.03,0.03,0.12,0.12
Interest,0.0,0.0,0.02,0.01,0.02,0.02
Depreciation,0.04,0.04,0.04,0.06,0.08,0.08
Profit before tax,0.28,0.28,0.92,1.03,0.09,0.46
Tax %,32.14,32.14,3.26,25.24,77.78,50.0
Net Profit,0.2,0.2,0.89,0.77,0.02,0.24
EPS in Rs,40.0,40.0,6.36,5.5,0.14,1.71
