,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,33.05,28.98,48.46,16.75
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,33.05,28.98,48.46,16.75
Working Capital Days,-7.51,-27.41,29.70,36.38
ROCE %,,132.65,41.84,23.64
