,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,71.43,71.43,71.43,71.43,71.43,71.43,71.43
Public,28.57,28.57,28.57,28.57,28.57,28.57,28.57
No. of Shareholders,168.0,160.0,148.0,175.0,199.0,242.0,270.0
