,2006-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.4,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6
Reserves,3.58,1.41,0.48,-3.81,3.15,2.11,23.42,19.08,14.12,14.62,15.07,15.39
Borrowings,0.0,28.46,36.25,12.14,13.68,19.87,21.14,38.54,38.37,33.52,69.0,32.23
Other Liabilities,0.36,30.99,44.36,35.8,30.21,19.63,29.07,35.62,31.82,25.2,66.41,81.88
Total Liabilities,5.34,78.46,98.69,61.73,64.64,59.21,91.23,110.84,101.91,90.94,168.08,147.1
Fixed Assets,0.11,32.94,31.99,27.49,23.16,22.9,17.11,42.62,39.71,34.7,34.94,35.33
CWIP,0.0,35.58,49.54,0.89,0.75,0.78,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.91,0.11,0.11,2.25,3.75,1.1,0.01,0.01,0.01,0.0,0.0,20.0
Other Assets,2.32,9.83,17.05,31.1,36.98,34.43,74.11,68.21,62.19,56.24,133.14,91.77
Total Assets,5.34,78.46,98.69,61.73,64.64,59.21,91.23,110.84,101.91,90.94,168.08,147.1
