,2006-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.11,17.59,23.38,3.72,2.32,14.09,0.45,2.01,27.68,2.93,2.64
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,20.11,17.59,23.38,3.72,2.32,14.09,0.45,2.01,27.68,2.93,2.64
Working Capital Days,267.56,-374.0,-728.74,-324.53,-450.50,44.06,216.56,-573.50,-1202.82,-28.30,391.37
ROCE %,,,0.19,1.34,7.19,4.80,3.46,5.21,-0.51,6.31,6.17
