,Mar 2006,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.36,18.26,17.33,22.55,15.71,14.25,16.18,14.53,5.01,7.48,20.76,23.71
Expenses,0.5,13.59,15.19,17.29,15.35,16.46,15.89,11.86,6.61,6.05,13.93,17.76
Operating Profit,1.86,4.67,2.14,5.26,0.36,-2.21,0.29,2.67,-1.6,1.43,6.83,5.95
OPM %,78.81,25.58,12.35,23.33,2.29,-15.51,1.79,18.38,-31.94,19.12,32.9,25.09
Other Income,0.03,-0.13,1.31,1.66,6.24,8.94,39.54,5.12,4.08,5.99,1.2,2.04
Interest,0.0,1.57,3.06,5.09,2.2,4.85,4.01,6.98,4.93,4.44,5.57,6.81
Depreciation,0.01,2.64,2.44,6.35,0.99,1.08,1.19,3.92,2.88,2.78,2.52,2.52
Profit before tax,1.88,0.33,-2.05,-4.52,3.41,0.8,34.63,-3.11,-5.33,0.2,-0.06,-1.34
Tax %,19.15,51.52,44.39,-3.98,68.62,-68.75,25.04,-39.55,6.57,-115.0,666.67,
Net Profit,1.52,0.15,-1.14,-4.7,1.07,1.35,25.96,-4.35,-4.99,0.43,0.34,-0.23
EPS in Rs,10.86,0.22,-0.44,-2.43,1.32,0.77,12.07,-2.49,-2.84,0.23,0.19,-0.15
