,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.95,13.34,16.09,21.77,31.92,28.2,39.77,42.67,43.89,19.56,26.92
Expenses,5.72,12.62,15.19,20.33,26.69,26.57,33.59,39.31,36.79,18.1,25.26
Operating Profit,1.23,0.72,0.9,1.44,5.23,1.63,6.18,3.36,7.1,1.46,1.66
OPM %,17.7,5.4,5.59,6.61,16.38,5.78,15.54,7.87,16.18,7.46,6.17
Other Income,0.67,0.46,0.44,0.51,0.27,0.66,0.63,1.15,0.87,1.08,0.79
Interest,0.02,0.19,0.18,0.23,0.65,0.17,0.29,0.44,0.46,0.45,0.45
Depreciation,0.73,0.91,0.93,0.93,-1.22,0.42,0.42,0.42,0.13,0.34,0.34
Profit before tax,1.15,0.08,0.23,0.79,6.07,1.7,6.1,3.65,7.38,1.75,1.66
Tax %,6.09,425.0,152.17,53.16,30.15,25.88,25.08,24.66,29.95,16.57,24.7
Net Profit,1.08,-0.25,-0.12,0.38,4.24,1.26,4.58,2.76,5.16,1.46,1.24
EPS in Rs,0.13,-0.05,-0.03,0.01,0.35,0.1,0.38,0.23,0.43,0.12,0.1
