,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,47.63,51.71,112.1,154.38,103.79,63.2,63.52,65.20
Expenses,40.91,43.98,96.79,140.56,94.41,57.08,57.49,59.52
Operating Profit,6.72,7.73,15.31,13.82,9.38,6.12,6.03,5.68
OPM %,14.11,14.95,13.66,8.95,9.04,9.68,9.49,8.71
Other Income,1.54,2.48,1.83,3.88,3.26,2.8,1.7,2.30
Interest,3.32,3.25,6.47,5.68,5.03,3.94,2.83,2.77
Depreciation,3.23,3.18,4.49,3.8,2.29,2.05,1.86,1.95
Profit before tax,1.71,3.78,6.18,8.22,5.32,2.93,3.04,3.26
Tax %,30.41,32.28,24.6,27.37,11.65,24.91,25.66,
Net Profit,1.18,2.56,4.66,5.97,4.7,2.21,2.26,2.50
EPS in Rs,2.58,5.05,8.86,11.35,8.94,1.4,1.21,1.35
