,2014-03-01,2015-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.57,5.07,5.26,5.26,5.26,15.78,18.61,18.61
Reserves,20.65,22.87,23.18,29.29,46.29,34.12,71.63,72.33
Borrowings,27.03,22.35,35.02,32.94,31.6,28.86,12.43,15.43
Other Liabilities,10.43,13.45,16.35,38.7,9.52,25.1,12.03,13.86
Total Liabilities,62.68,63.74,79.81,106.19,92.67,103.86,114.7,120.23
Fixed Assets,37.62,34.03,18.04,14.59,10.5,10.75,9.74,11.04
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,9.67,9.69,21.94,17.9,17.67,17.62
Other Assets,25.06,29.71,52.1,81.91,60.23,75.21,87.29,91.57
Total Assets,62.68,63.74,79.81,106.19,92.67,103.86,114.7,120.23
