,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,4,5,10
Reserves,0,4,28,26
Borrowings,7,13,8,14
Other Liabilities,9,7,8,20
Total Liabilities,17,28,49,70
Fixed Assets,0,1,1,1
CWIP,0,0,0,0
Investments,0,0,1,1
Other Assets,17,27,47,68
Total Assets,17,28,49,70
