,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,150.02,114.12,147.35,157.62,174.11,167.95,191.21,194.58,196.74,207.86,234.64
Expenses,141.48,106.13,136.1,147.18,163.24,157.62,177.77,180.95,182.12,190.73,215.45
Operating Profit,8.54,7.99,11.25,10.44,10.87,10.33,13.44,13.63,14.62,17.13,19.19
OPM %,5.69,7.0,7.63,6.62,6.24,6.15,7.03,7.0,7.43,8.24,8.18
Other Income,2.79,0.39,0.61,0.31,2.06,1.65,0.31,0.46,1.15,0.44,0.99
Interest,4.97,3.35,3.51,3.21,3.22,3.43,3.79,4.46,4.8,4.96,5.4
Depreciation,3.07,2.26,2.16,2.22,1.96,1.29,1.21,1.28,1.43,2.44,3.21
Profit before tax,3.29,2.77,6.19,5.32,7.75,7.26,8.75,8.35,9.54,10.17,11.57
Tax %,29.48,25.63,30.37,23.87,25.42,22.31,26.97,22.51,34.7,26.94,26.27
Net Profit,2.32,2.06,4.31,4.04,5.78,5.64,6.39,6.47,6.24,7.44,8.53
EPS in Rs,0.95,0.84,1.76,1.65,2.36,2.3,2.61,2.64,2.55,3.04,3.48
