,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.29,0.00,0.00,0.00,0.00,0.15,1.5,1.49,0.7,0.95
Expenses,2.19,0.42,0.40,0.45,0.55,0.46,0.65,0.67,1.48,1.57
Operating Profit,0.1,-0.42,-0.40,-0.45,-0.55,-0.31,0.85,0.82,-0.78,-0.62
OPM %,4.37,,,,,-206.67,56.67,55.03,-111.43,-65.26
Other Income,0.6,0.65,0.48,0.39,0.58,0.55,0.62,0.62,0.64,0.44
Interest,0.02,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00
Depreciation,0.08,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Profit before tax,0.6,0.16,0.07,-0.07,0.02,0.23,1.46,1.43,-0.15,-0.18
Tax %,11.67,18.75,42.86,-185.71,-150.00,21.74,23.97,26.57,-93.33,
Net Profit,0.56,0.17,0.03,-0.28,0.62,0.78,1.6,1.23,-0.09,-0.09
EPS in Rs,1.12,0.34,0.06,-0.56,1.24,1.56,3.2,2.46,-0.18,-0.18
