,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,1.33
Expenses,0.09,0.57,0.52,0.13,0.12,0.21,0.12,0.10,0.08,0.42,4.65,0.58,1.25
Operating Profit,-0.09,-0.57,-0.43,-0.13,-0.12,-0.21,-0.12,-0.10,-0.08,-0.42,-4.65,0.03,0.08
OPM %,,,-477.78,,,,,,,,,4.92,6.02
Other Income,0.25,0.11,0.0,0.14,0.18,-2.65,0.21,0.00,0.00,0.00,0.00,0.0,0.00
Interest,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Depreciation,0.04,0.03,0.02,0.08,0.08,0.07,0.01,0.00,0.00,4.58,0.00,0.01,0.01
Profit before tax,0.12,-0.49,-0.45,-0.07,-0.02,-2.93,0.08,-0.10,-0.08,-5.00,-4.65,0.01,0.07
Tax %,0.00,59.18,0.0,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,-200.0,
Net Profit,0.12,-0.20,-0.45,-0.08,-0.02,-2.94,0.08,-0.12,-0.08,-4.99,-4.65,0.03,0.08
EPS in Rs,0.43,-0.71,-1.02,-0.18,-0.05,-9.11,0.25,-0.37,-0.25,-15.46,-14.40,0.09,0.25
