,2019-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,2.0,4.0,2,1
Inventory Days,440.0,506.0,394,389
Days Payable,29.0,29.0,27,21
Cash Conversion Cycle,413.0,481.0,370,369
Working Capital Days,350.0,401.0,303,298
ROCE %,,,14,16
