,2023-06-01
Depreciation,0.42
EPS in Rs,0.84
Expenses,74.15
Interest,4.83
Net Profit,5.48
OPM %,14.5
Operating Profit,12.58
Other Income,0.03
Profit before tax,7.36
Sales,86.73
Tax %,25.54
