,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14.14,14.14,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61
Reserves,2.08,8.63,11.24,12.04,13.11,14.24,15.53,16.61,15.38,14.44,13.54,13.48
Borrowings,3.8,25.37,69.59,75.14,84.83,104.36,111.42,106.26,79.46,78.45,84.85,77.48
Other Liabilities,105.58,171.52,188.12,189.65,210.61,199.81,183.7,156.33,37.5,35.32,35.07,34.43
Total Liabilities,125.6,219.66,284.56,292.44,324.16,334.02,326.26,294.81,147.95,143.82,149.07,141.0
Fixed Assets,1.29,1.13,1.01,1.27,0.99,1.33,1.64,1.62,0.48,0.37,1.53,1.4
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.0,0.01,0.01,0.01,0.11,0.11,0.11,0.11,0.5,0.5700000000000001,0.5700000000000001,0.5700000000000001
Other Assets,123.31,218.52,283.54,291.16,323.06,332.58,324.51,293.08,146.97,142.88,146.97,139.03
Total Assets,125.6,219.66,284.56,292.44,324.16,334.02,326.26,294.81,147.95,143.82,149.07,141.0
