,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.71,3.55,4.62,52.86,41.12,59.43,45.47,43.4,10.34,5.39,7.18,17.92
Expenses,0.71,2.58,3.69,50.53,38.4,52.61,39.01,38.28,8.01,4.29,5.17,16.26
Operating Profit,1.0,0.97,0.93,2.33,2.72,6.82,6.46,5.12,2.33,1.1,2.01,1.66
OPM %,58.48,27.32,20.13,4.41,6.61,11.48,14.21,11.8,22.53,20.41,27.99,9.26
Other Income,0.21,0.17,0.37,0.65,0.92,0.44,0.38,0.59,2.75,0.99,0.04,0.05
Interest,0.21,0.36,0.38,1.21,1.41,4.84,4.22,3.57,3.54,3.24,3.69,3.64
Depreciation,0.19,0.18,0.22,0.26,0.3,0.31,0.3,0.26,0.13,0.11,0.15,0.24
Profit before tax,0.81,0.6,0.7,1.51,1.93,2.11,2.32,1.88,1.41,-1.26,-1.79,-2.17
Tax %,30.86,31.67,28.57,31.79,31.61,25.12,26.29,25.0,34.04,-19.84,-1.68,
Net Profit,0.56,0.41,0.51,1.03,1.33,1.58,1.72,1.42,0.92,-1.5,-1.81,-1.06
EPS in Rs,0.4,0.28,0.32,0.56,0.66,0.72,1.1,0.91,0.59,-0.06,-0.57,-0.08
