,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-06-01,2017-06-01,2018-06-01,2019-06-01,2020-06-01,2021-06-01,2022-06-01,2023-06-01
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,123,87,95,100,98,166,165,183,230,224,248,255
Borrowings,1,0,0,0,0,0,0,0,49,39,25,15
Other Liabilities,60,128,107,96,104,67,76,76,81,66,67,85
Total Liabilities,198,230,216,211,217,248,255,274,375,343,355,369
Fixed Assets,69,74,79,75,77,62,69,71,137,125,101,87
CWIP,3,2,1,0,0,1,0,1,6,9,2,4
Investments,0,38,34,37,24,41,36,17,15,27,52,60
Other Assets,126,116,102,98,116,143,149,185,218,183,200,219
Total Assets,198,230,216,211,217,248,255,274,375,343,355,369
