,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-59,-59,0,-21,-146
Cash from Investing Activity,0,-4,-4,0,1
Cash from Financing Activity,65,58,3,21,145
Net Cash Flow,6,-6,0,0,0
