,2023-09-01
Depreciation,0.63
EPS in Rs,4.94
Expenses,19.86
Interest,0.39
Net Profit,2.45
OPM %,18.2
Operating Profit,4.42
Other Income,0.05
Profit before tax,3.45
Sales,24.28
Tax %,28.99
