,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,19.61,30.9,29.5,28.17,24.06,30.01,35.96,25.49,28.21,28.79
Expenses,18.08,26.77,23.84,24.36,23.2,25.65,25.14,21.73,24.64,26.29
Operating Profit,1.53,4.13,5.66,3.81,0.86,4.36,10.82,3.76,3.57,2.5
OPM %,7.8,13.37,19.19,13.53,3.57,14.53,30.09,14.75,12.66,8.68
Other Income,0.15,0.34,0.31,0.2,0.0,0.0,0.01,0.03,0.01,0.0
Interest,0.71,0.79,0.75,0.79,0.94,1.17,1.19,0.96,0.96,0.86
Depreciation,0.86,0.75,0.86,1.21,1.14,1.16,1.23,1.17,1.08,1.21
Profit before tax,0.11,2.93,4.36,2.01,-1.22,2.03,8.41,1.66,1.54,0.43
Tax %,27.27,24.23,30.73,28.36,28.69,27.59,31.27,1.2,26.62,27.91
Net Profit,0.08,2.22,3.02,1.45,-0.88,1.47,5.78,1.64,1.13,0.32
EPS in Rs,0.07,2.06,2.8,1.34,-0.82,1.36,5.36,1.52,1.05,0.3
