,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,164.0,246.0,266.0,249.0,212.0,237.0,313.0,306.0,317.0,287.0,333.0
Expenses,132.0,168.0,177.0,159.0,164.0,155.0,204.0,200.0,219.0,199.0,215.0
Operating Profit,32.0,78.0,89.0,89.0,48.0,82.0,110.0,107.0,98.0,88.0,118.0
OPM %,20.0,32.0,34.0,36.0,23.0,35.0,35.0,35.0,31.0,31.0,35.0
Other Income,2.0,2.0,5.0,6.0,6.0,6.0,8.0,8.0,9.0,8.0,8.0
Interest,13.0,13.0,12.0,12.0,16.0,14.0,13.0,14.0,14.0,15.0,13.0
Depreciation,20.0,19.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,25.0,27.0
Profit before tax,2.0,48.0,61.0,62.0,16.0,52.0,81.0,78.0,70.0,56.0,85.0
Tax %,30.0,25.0,26.0,27.0,22.0,25.0,24.0,26.0,23.0,25.0,26.0
Net Profit,1.0,36.0,45.0,45.0,12.0,39.0,62.0,58.0,54.0,42.0,63.0
EPS in Rs,0.29,8.17,10.28,4.78,1.3,3.76,6.02,5.71,5.28,4.04,6.2
