,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,9,44,44,44,44,94,102,102.0
Reserves,144,166,275,308,307,317,350,391,498,958,1038.0
Preference Capital,6,6,11,11,11,11,11,11,11,0,
Borrowings,18,16,13,15,13,465,490,518,581,570,631.0
Other Liabilities,29,39,52,66,84,100,134,127,123,146,127.0
Total Liabilities,201,231,349,399,448,926,1019,1081,1296,1776,1898.0
Fixed Assets,56,78,123,174,296,702,702,772,858,931,977.0
CWIP,4,35,31,7,12,23,43,29,6,23,69.0
Investments,31,7,2,6,0,3,10,18,22,58,147.0
Other Assets,109,111,194,212,140,199,265,262,409,764,705.0
Total Assets,201,231,349,399,448,926,1019,1081,1296,1776,1898.0
