,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,15,26,17,36,48,127,170,143,224,327
Cash from Investing Activity,-113,-20,-107,-33,-42,-117,-117,-83,-175,-465
Cash from Financing Activity,98,-7,93,-1,-7,-9,-52,-61,-44,143
Net Cash Flow,0,-1,3,1,-2,2,2,-1,4,5
