,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.08,39.39,39.39,39.39,39.39,39.39,39.39,39.39
Reserves,143.39,76.4,79.27,81.3,78.95,78.84,74.79,74.41
Borrowings,67.13,57.42,76.63,22.63,9.6,0.0,0.0,0.0
Other Liabilities,4.42,16.13,17.08,3.02,20.65,5.67,67.34,136.64
Total Liabilities,215.02,189.34,212.37,146.34,148.59,123.9,181.52,250.44
Fixed Assets,0.0,0.0,13.09,7.75,8.47,6.92,6.85,7.11
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68
Investments,24.5,26.07,29.0,22.15,22.07,6.61,9.63,23.84
Other Assets,190.52,163.27,170.28,116.44,118.05,110.37,165.04,211.81
Total Assets,215.02,189.34,212.37,146.34,148.59,123.9,181.52,250.44
