,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,30.03,7.20,12.71,2.37,2.67,43.14,18.07
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,30.03,7.20,12.71,2.37,2.67,43.14,18.07
Working Capital Days,2362.15,2669.96,5792.26,454.87,784.85,7329.45,31090.05
ROCE %,,4.51,4.62,2.63,3.73,0.51,-4.98
