,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.56,19.78,9.48,87.65,45.12,5.33,1.01,0.0
Expenses,18.70,20.15,8.49,85.21,43.24,8.4,9.24,8.85
Operating Profit,9.86,-0.37,0.99,2.44,1.88,-3.07,-8.23,-8.85
OPM %,34.52,-1.87,10.44,2.78,4.17,-57.6,-814.85,
Other Income,10.46,9.00,7.67,3.33,3.34,4.14,2.73,2.66
Interest,8.85,6.38,5.41,6.23,4.27,0.27,0.0,0.0
Depreciation,0.00,0.00,0.15,0.23,0.16,0.15,0.11,0.12
Profit before tax,11.47,2.25,3.1,-0.69,0.79,0.65,-5.61,-6.31
Tax %,36.44,37.78,6.45,398.55,401.27,118.46,27.63,
Net Profit,7.29,1.40,2.89,2.06,-2.38,-0.12,-4.06,-4.55
EPS in Rs,,,0.07,0.05,-0.06,-0.0,-0.1,-0.12
