,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,12,17,25,25,25,25,25
Reserves,15,26,46,89,157,165,184,213,232,245
Borrowings,43,39,41,38,23,17,30,52,58,80
Other Liabilities,21,21,19,24,25,27,33,45,43,45
Total Liabilities,87,95,114,163,221,234,272,335,358,396
Fixed Assets,34,37,37,37,44,90,112,147,160,174
CWIP,2,1,1,0,25,17,29,4,15,9
Investments,1,7,16,20,21,19,22,29,32,38
Other Assets,50,51,61,106,131,107,109,155,151,175
Total Assets,87,95,114,163,221,234,272,335,358,396
