,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,157.0,180.0,203.0,243.0,261.0,242.0,231.0,448.0,538.0,549
Expenses,144.0,161.0,182.0,213.0,231.0,215.0,205.0,406.0,503.0,509
Operating Profit,13.0,19.0,21.0,30.0,29.0,27.0,26.0,42.0,35.0,40
OPM %,9.0,11.0,10.0,12.0,11.0,11.0,11.0,9.0,7.0,7
Other Income,0.0,1.0,5.0,1.0,6.0,3.0,3.0,5.0,3.0,5
Interest,6.0,7.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,5
Depreciation,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,7
Profit before tax,6.0,12.0,20.0,24.0,30.0,24.0,22.0,37.0,27.0,33
Tax %,37.0,34.0,28.0,37.0,26.0,24.0,22.0,22.0,22.0,
Net Profit,4.0,9.0,17.0,19.0,23.0,19.0,17.0,29.0,21.0,26
EPS in Rs,3.12,7.16,13.88,10.18,8.9,7.31,6.87,11.41,8.39,10.19
