,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,28.89,39.43,18.83,23.35,25.59,34.07,29.4,31.55,41.1
Expenses,26.38,33.71,15.63,20.3,23.2,30.17,26.85,28.25,38.97
Operating Profit,2.51,5.72,3.2,3.05,2.39,3.9,2.55,3.3,2.13
OPM %,8.69,14.51,16.99,13.06,9.34,11.45,8.67,10.46,5.18
Other Income,0.69,-0.56,0.34,0.21,0.58,0.12,0.18,0.09,0.01
Interest,0.88,1.18,0.99,0.78,0.81,0.47,0.4,0.57,0.86
Depreciation,0.61,0.8,0.69,0.6,0.64,0.8,0.72,0.35,0.54
Profit before tax,1.71,3.18,1.86,1.88,1.52,2.75,1.61,2.47,0.74
Tax %,0.0,44.34,0.0,57.98,0.0,36.73,0.0,48.58,0.0
Net Profit,1.71,1.77,1.86,0.79,1.51,1.74,1.6,1.27,0.75
EPS in Rs,1.01,1.04,1.09,0.46,0.89,1.02,0.94,0.75,0.44
