,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.18,15.1,16.06,17.75,13.8,24.72,39.65,56.87,30.86,51.97,42.18,66.01,30.88
Expenses,13.05,14.82,18.4,17.03,13.45,21.86,43.68,53.55,30.39,51.06,43.92,63.47,29.79
Operating Profit,1.13,0.28,-2.34,0.72,0.35,2.86,-4.03,3.32,0.47,0.91,-1.74,2.54,1.09
OPM %,7.97,1.85,-14.57,4.06,2.54,11.57,-10.16,5.84,1.52,1.75,-4.13,3.85,3.53
Other Income,0.03,0.11,0.02,0.07,0.09,0.23,0.55,0.67,1.24,0.54,0.99,0.48,0.54
Interest,0.15,0.15,0.14,0.15,0.13,0.11,0.24,0.26,0.18,0.16,0.21,0.19,0.18
Depreciation,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Profit before tax,0.97,0.2,-2.51,0.6,0.27,2.94,-3.76,3.69,1.49,1.25,-1.0,2.79,1.41
Tax %,26.8,25.0,24.7,26.67,25.93,26.19,26.06,27.91,28.86,28.0,20.0,27.96,28.37
Net Profit,0.72,0.15,-1.89,0.44,0.2,2.17,-2.79,2.66,1.06,0.9,-0.8,2.01,1.02
EPS in Rs,1.21,0.25,-3.17,0.74,0.34,3.65,-4.69,4.47,1.78,1.51,-1.34,3.38,1.71
