,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,10,5,10,-39,22,-23,18,40,17,64,27
Cash from Investing Activity,-1,-1,-1,-3,-14,-31,-9,-8,-6,-9,-16
Cash from Financing Activity,-9,-4,2,33,-6,52,-9,-32,-11,-55,-12
Net Cash Flow,0,0,11,-9,2,-2,0,0,0,0,0
