,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,9,10,10,11,22,22,22,22,22,22,22
Reserves,5,6,10,17,31,49,70,86,95,126,155,171
Borrowings,34,37,49,92,86,131,133,122,118,77,82,113
Other Liabilities,38,26,64,42,48,36,68,69,62,125,144,134
Total Liabilities,86,78,133,161,176,238,292,299,297,350,403,440
Fixed Assets,20,19,18,19,18,56,58,56,55,53,56,56
CWIP,0,0,0,0,10,0,0,0,0,0,3,8
Investments,1,1,0,0,0,0,0,0,0,0,0,0
Other Assets,65,58,115,142,148,182,234,243,242,297,345,375
Total Assets,86,78,133,161,176,238,292,299,297,350,403,440
