,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.85,3.91,26.98,10.69,2.19,0.54,75.83,3.81,4.94,0.84,0.93
Expenses,0.36,1.89,23.44,9.71,2.0,0.68,73.93,3.9,4.48,1.31,1.54
Operating Profit,0.49,2.02,3.54,0.98,0.19,-0.14,1.9,-0.09,0.46,-0.47,-0.61
OPM %,57.65,51.66,13.12,9.17,8.68,-25.93,2.51,-2.36,9.31,-55.95,-65.59
Other Income,0.65,0.29,0.54,0.44,0.49,0.43,0.57,0.39,0.62,0.35,0.44
Interest,0.0,0.31,0.33,0.17,0.29,0.36,0.42,0.28,0.21,0.01,0.00
Depreciation,0.0,0.06,0.03,0.06,0.08,0.0,0.06,0.05,0.05,0.05,0.05
Profit before tax,1.14,1.94,3.72,1.19,0.31,-0.07,1.99,-0.03,0.82,-0.18,-0.22
Tax %,9.65,32.47,33.6,0.0,0.0,-57.14,29.15,-266.67,31.71,-5.56,
Net Profit,1.04,1.31,2.46,1.19,0.31,-0.11,1.41,-0.12,0.56,-0.19,-0.24
EPS in Rs,1.14,0.78,1.34,0.65,0.17,-0.06,0.37,-0.1,0.13,-0.11,-0.13
