,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,37,47,49,52,66,75,85,99.0
Reserves,600,822,1086,1397,1420,1457,1514,1801.0
Preference Capital,25,0,0,0,0,0,0,
Borrowings,3864,5161,5271,5542,6181,5744,5911,7283.0
Other Liabilities,276,268,336,309,377,380,339,167.0
Total Liabilities,4778,6299,6741,7300,8045,7655,7850,9350.0
Fixed Assets,73,75,81,94,131,126,129,131.0
CWIP,12,16,16,34,4,0,0,0.0
Investments,21,72,264,246,1,49,62,104.0
Other Assets,4672,6136,6380,6926,7909,7481,7659,9116.0
Total Assets,4778,6299,6741,7300,8045,7655,7850,9350.0
