,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,801.0,1031.0,1443.0,1500.0,1377.0,1378.0,1557.0,1853
Interest,436.0,536.0,646.0,589.0,638.0,631.0,617.0,715
Expenses,322.0,365.0,471.0,685.0,737.0,700.0,919.0,647
Financing Profit,44.0,130.0,326.0,225.0,2.0,47.0,22.0,491
Financing Margin %,5.0,13.0,23.0,15.0,0.0,3.0,1.0,26
Other Income,0.0,0.0,3.0,4.0,3.0,3.0,2.0,2
Depreciation,6.0,15.0,13.0,18.0,15.0,16.0,18.0,22
Profit before tax,38.0,116.0,316.0,212.0,-10.0,34.0,5.0,471
Tax %,34.0,35.0,36.0,27.0,-43.0,39.0,8.0,
Net Profit,25.0,75.0,201.0,155.0,-14.0,21.0,5.0,352
EPS in Rs,4.78,11.43,29.72,21.52,-1.94,2.76,0.58,39.55
