,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-11-01
Promoters,46.82,46.82,46.82,37.69,37.69,37.69,37.69,55.14,57.6
DIIs,1.98,1.62,1.61,1.3,1.3,1.3,0.27,0.17,0.15
Public,51.2,51.55,51.56,61.01,61.01,61.01,62.03,44.68,42.23
No. of Shareholders,9760.0,9636.0,8380.0,8378.0,8281.0,8062.0,7517.0,7220.0,8495.0
