,2011-12-01,2012-12-01,2013-12-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-4,0,4,1,2,1,0,5,5,12,-7,9
Cash from Investing Activity,-2,-2,-3,0,2,1,-4,-1,-8,-8,2,-7
Cash from Financing Activity,4,-2,-2,-1,-3,0,0,0,0,0,1,0
Net Cash Flow,-2,-4,-1,1,0,1,-4,3,-3,4,-4,3
