,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,876.0,1195.0,1400.0,1555.0,1277.0,1267.0,1742.0,2354.0,2404
Expenses,797.0,1106.0,1273.0,1438.0,1230.0,1236.0,1667.0,2171.0,2232
Operating Profit,79.0,89.0,127.0,117.0,47.0,31.0,75.0,184.0,173
OPM %,9.0,7.0,9.0,8.0,4.0,2.0,4.0,8.0,7
Other Income,-2.0,11.0,9.0,10.0,12.0,7.0,52.0,6.0,-76
Interest,19.0,30.0,34.0,35.0,38.0,28.0,21.0,35.0,50
Depreciation,41.0,57.0,61.0,66.0,66.0,66.0,81.0,97.0,101
Profit before tax,17.0,13.0,40.0,26.0,-45.0,-55.0,26.0,58.0,-54
Tax %,27.0,66.0,40.0,91.0,-2.0,-10.0,58.0,49.0,
Net Profit,13.0,4.0,24.0,2.0,-46.0,-61.0,11.0,30.0,37
EPS in Rs,12.05,4.11,20.87,2.02,-36.26,-41.98,6.55,18.46,22.48
